,,Model,Family,Line,Type,"Launch Date","GPU Dimensions","OS Support","Additional power connector","Compute Units","Base Frequency","Boost Frequency","Game Frequency","Ray Accelerators","Peak Frequency","Peak Pixel Fill-Rate","Peak Texture Fill-Rate","Max Performance","Peak Half Precision (FP16) Performance","Peak Single Precision (FP32) Performance","Peak Double Precision (FP64) Performance",ROPs,"Stream Processors","Texture Units","Transistor Count","GPU Power","Typical Board Power (Desktop)","Minimum PSU Recommendation","Infinity Cache","Memory Speed","Max Memory Size","Memory Type","Memory Interface","Memory Bandwidth","HDMI 4K Support","4K H264 Decode","4K H264 Encode","H265/HEVC Decode","H265/HEVC Encode","AV1 Decode",DisplayPort,"Dual Link DVI",HDMI,Length,"Slot Size",VGA,"AMD Eyefinity Max Display Support","USB Type-C","Supported Technologies"
,on,"AMD Radeon™ RX 6900 XT","AMD Radeon™ 6000 Series","AMD Radeon™ 6900 Series",Component,12/8/2020,,"Windows 10 - 64-Bit Edition, Linux x86_64","2x8 pin",80,,"Up to 2250 MHz","Up to 2015 MHz",80,,"Up to 288.00 GP/s","Up to 720.00 GT/s",,"46.08 TFLOPs","23.04 TFLOPs",,128,5120,320,"26.8 B",,"300 W","850 W","128 MB","16 Gbps",16GB,GDDR6,256-bit,"Up to 512 GB/s",Yes,Yes,Yes,Yes,Yes,Yes,"1.4 with DSC",,"HDMI™ 2.1 VRR and FRL","267 mm","2.5 slots",,,Yes,
,on,"AMD Radeon™ RX 6800 XT Midnight Black","AMD Radeon™ 6000 Series","AMD Radeon™ 6800 Series",Component,04/07/2021,,"Windows 10 - 64-Bit Edition, Ubuntu x86 64-Bit","2x8 pin",72,,"Up to 2250 MHz","Up to 2015 MHz",72,,"Up to 288.00 GP/s","Up to 648.00 GT/s",,"41.47 TFLOPs","20.74 TFLOPs",,128,4608,288,"26.8 B",,"300 W","750 W","128 MB","16 Gbps",16GB,GDDR6,256-bit,"Up to 512 GB/s",Yes,Yes,Yes,Yes,Yes,Yes,"1.4 with DSC",,"HDMI™ 2.1 VRR and FRL","267 mm","2.5 slots",,,Yes,
,on,"AMD Radeon™ RX 6800 XT","AMD Radeon™ 6000 Series","AMD Radeon™ 6800 Series",Component,11/18/2020,,"Windows 10 - 64-Bit Edition, Linux x86_64","2x8 pin",72,,"Up to 2250 MHz","Up to 2015 MHz",72,,"Up to 288.00 GP/s","Up to 648.00 GT/s",,"41.47 TFLOPs","20.74 TFLOPs",,128,4608,288,"26.8 B",,"300 W","750 W","128 MB","16 Gbps",16GB,GDDR6,256-bit,"Up to 512 GB/s",Yes,Yes,Yes,Yes,Yes,Yes,"1.4 with DSC",,"HDMI™ 2.1 VRR and FRL","267 mm","2.5 slots",,,Yes,
,on,"AMD Radeon™ RX 6800","AMD Radeon™ 6000 Series","AMD Radeon™ 6800 Series",Component,11/18/2020,,"Windows 10 - 64-Bit Edition, Linux x86_64","2x8 pin",60,,"Up to 2105 MHz","Up to 1815 MHz",60,,"Up to 202.10 GP/s","Up to 505.20 GT/s",,"32.33 TFLOPs","16.17 TFLOPs",,96,3840,240,"26.8 B",,"250 W","650 W","128 MB","16 Gbps",16GB,GDDR6,256-bit,"Up to 512 GB/s",Yes,Yes,Yes,Yes,Yes,Yes,"1.4 with DSC",,"HDMI™ 2.1 VRR and FRL","267 mm","2 slots",,,Yes,
,on,"AMD Radeon™ RX 6700 XT","AMD Radeon™ 6000 Series","AMD Radeon™ 6700 Series",Component,"March 2021",,"Windows 10 - 64-Bit Edition","8 pin + 6 pin",40,"2321 MHz","Up to 2581 MHz","Up to 2424 MHz",40,,"Up to 165.20 GP/s","Up to 413.00 GT/s",,"26.43 TFLOPs","13.21 TFLOPs",,64,2560,160,,,"230 W","650 W","96 MB",,12GB,GDDR6,192-bit,"Up to 384 GB/s",Yes,Yes,Yes,Yes,Yes,Yes,"1.4 with DSC",,"4K120Hz/8K60Hz VRR as specified in HDMI 2.1","267 mm","2 slots",,,,
,on,"AMD Radeon™ RX 5700 XT 50th Anniversary","AMD Radeon™ 5700 Series","AMD Radeon™ RX 5700 Series",Component,7/7/2019,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64","1 x 8-pin and 1x6 pin",40,"1680 MHz","Up to 1980 MHz","Up to 1830 MHz",,,"Up to 126.70 GP/s","Up to 316.80 GT/s",,"20.28 TFLOPs","10.14 TFLOPs",,64,2560,160,,,"235 W","600 W",,"14 Gbps",8GB,GDDR6,256-bit,"Up to 448 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,"AMD Radeon™ Media Engine, AMD RDNA Architecture, VSR (4K), AMD Radeon™ VR Ready Premium, AMD FreeSync™ Technology, DirectX® 12 Technology, TrueAudio Next, The Vulkan® API"
,on,"AMD Radeon™ RX 5700 XT","AMD Radeon™ 5700 Series","AMD Radeon™ RX 5700 Series",Component,7/7/2019,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64","1 x 8-pin and 1x6 pin",40,"1605 MHz","Up to 1905 MHz","Up to 1755 MHz",,,"Up to 121.90 GP/s","Up to 304.80 GT/s",,"19.51 TFLOPs","9.75 TFLOPs",,64,2560,160,"10.3 B",,"225 W","600 W",,"14 Gbps",8GB,GDDR6,256-bit,"Up to 448 GB/s",,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,"AMD Radeon™ Media Engine, AMD RDNA Architecture, VSR (4K), AMD Radeon™ VR Ready Premium, AMD FreeSync™ Technology, DirectX® 12 Technology, TrueAudio Next, The Vulkan® API"
,on,"AMD Radeon™ VII","AMD Radeon™ 2nd generation Vega","AMD Radeon™ 2nd generation Vega","Desktop, Component",2019,,,,60,"1400 MHz","Up to 1750 MHz",,,"Up to 1800 MHz","Up to 115.26 GP/s","Up to 432.24 GT/s",,"27.7 TFLOPs","13.8 TFLOPs","3.46 TFLOPs",,3840,,"13.2 B",,"300 W","750 W",,"4 Gbps",16GB,HBM2,4096-bit,"Up to 1024 GB/s",,,,,,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ VR Ready Premium, AMD FreeSync™ Technology, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), Catalyst Software, OpenCL® 2.0, OpenGL 4.6, AMD PowerTune Technology, AMD TressFX Hair, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API, AMD ZeroCore Power Technology"
,on,"AMD Radeon™ RX 5700","AMD Radeon™ 5700 Series","AMD Radeon™ RX 5700 Series",Component,7/7/2019,,,"1 x 8-pin and 1x6 pin",36,"1465 MHz","Up to 1725 MHz","Up to 1625 MHz",,,"Up to 110.40 GP/s","Up to 248.40 GT/s",,"15.9 TFLOPs","7.95 TFLOPs",,64,2304,144,"10.3 B",,"180 W","600 W",,"14 Gbps",8GB,GDDR6,256-bit,"Up to 448 GB/s",,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,"AMD Radeon™ Media Engine, AMD RDNA Architecture, VSR (4K), AMD Radeon™ VR Ready Premium, AMD FreeSync™ Technology, DirectX® 12 Technology, TrueAudio Next, The Vulkan® API"
,on,"AMD Radeon™ RX 5600 XT","AMD Radeon™ 5600 Series","AMD Radeon™ RX 5600 Series",Component,,,,,36,,"Up to 1560 MHz","Up to 1375 MHz",,,"Up to 99.80 GP/s","Up to 224.64 GT/s",,"14.38 TFLOPs","7.19 TFLOPs",,64,2304,144,"10.3 B",,"150 W","550 W",,"12 Gbps/14 Gbps",6GB,GDDR6,192-bit,"Up to 336 GB/s",,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,
